window_start_idx,window_end_idx,start_time,end_time,predicted_class,class_name,confidence
510,1022,1970-01-01 00:28:24.282000,1970-01-01 00:28:24.435300,-1,Unclassified,0.3350432515144348
520,1032,1970-01-01 00:28:24.285000,1970-01-01 00:28:24.438300,-1,Unclassified,0.20536570250988007
530,1042,1970-01-01 00:28:24.288000,1970-01-01 00:28:24.441300,-1,Unclassified,0.3397234380245209
540,1052,1970-01-01 00:28:24.291000,1970-01-01 00:28:24.444300,-1,Unclassified,0.26366469264030457
550,1062,1970-01-01 00:28:24.294000,1970-01-01 00:28:24.447300,-1,Unclassified,0.29488030076026917
560,1072,1970-01-01 00:28:24.297000,1970-01-01 00:28:24.450300,-1,Unclassified,0.24905136227607727
570,1082,1970-01-01 00:28:24.300000,1970-01-01 00:28:24.453300,-1,Unclassified,0.37036648392677307
580,1092,1970-01-01 00:28:24.303000,1970-01-01 00:28:24.456300,-1,Unclassified,0.26803597807884216
590,1102,1970-01-01 00:28:24.306000,1970-01-01 00:28:24.459300,-1,Unclassified,0.3512062132358551
600,1112,1970-01-01 00:28:24.309000,1970-01-01 00:28:24.462300,-1,Unclassified,0.2695639431476593
610,1122,1970-01-01 00:28:24.312000,1970-01-01 00:28:24.465300,-1,Unclassified,0.4650183320045471
620,1132,1970-01-01 00:28:24.315000,1970-01-01 00:28:24.468300,-1,Unclassified,0.4058951735496521
630,1142,1970-01-01 00:28:24.318000,1970-01-01 00:28:24.471300,-1,Unclassified,0.48452839255332947
640,1152,1970-01-01 00:28:24.321000,1970-01-01 00:28:24.474300,-1,Unclassified,0.2980339229106903
650,1162,1970-01-01 00:28:24.324000,1970-01-01 00:28:24.477300,-1,Unclassified,0.432202011346817
660,1172,1970-01-01 00:28:24.327000,1970-01-01 00:28:24.480300,-1,Unclassified,0.3248801827430725
670,1182,1970-01-01 00:28:24.330000,1970-01-01 00:28:24.483300,-1,Unclassified,0.44606176018714905
680,1192,1970-01-01 00:28:24.333000,1970-01-01 00:28:24.486300,-1,Unclassified,0.2985774576663971
690,1202,1970-01-01 00:28:24.336000,1970-01-01 00:28:24.489300,-1,Unclassified,0.4517457187175751
700,1212,1970-01-01 00:28:24.339000,1970-01-01 00:28:24.665100,-1,Unclassified,0.29910627007484436
710,1222,1970-01-01 00:28:24.342000,1970-01-01 00:28:24.668100,-1,Unclassified,0.445045530796051
720,1232,1970-01-01 00:28:24.345000,1970-01-01 00:28:24.671100,-1,Unclassified,0.2959388494491577
730,1242,1970-01-01 00:28:24.348000,1970-01-01 00:28:24.674100,-1,Unclassified,0.4379138648509979
740,1252,1970-01-01 00:28:24.351000,1970-01-01 00:28:24.677100,-1,Unclassified,0.2960587441921234
750,1262,1970-01-01 00:28:24.354000,1970-01-01 00:28:24.680100,-1,Unclassified,0.45407161116600037
760,1272,1970-01-01 00:28:24.357000,1970-01-01 00:28:24.683100,-1,Unclassified,0.3242206871509552
