timestamp,open,high,low,close
1704069000000,1.1038,1.1038,1.10353,1.10353
1704086100000,1.1038,1.1045,1.1038,1.1042
1704098400000,1.1044,1.105,1.1044,1.1049
1704102900000,1.105,1.105,1.1049,1.1049
1704130200000,1.10404,1.1053,1.091,1.10404
1704130500000,1.1043,1.10499,1.104,1.10404
1704130800000,1.104,1.1043,1.104,1.10404
1704131100000,1.1042,1.1047,1.10404,1.10469
1704131400000,1.1048,1.1056,1.10469,1.1055
1704131700000,1.1056,1.1071,1.10472,1.1071
1704132000000,1.1072,1.1073,1.1047,1.1048
1704132300000,1.1047,1.1051,1.1046,1.1048
1704132600000,1.10482,1.1052,1.1044,1.1052
1704132900000,1.10502,1.10532,1.10422,1.1043
1704133200000,1.10422,1.1046,1.10374,1.10402
1704133500000,1.1039,1.1042,1.1038,1.104
1704133800000,1.1041,1.1043,1.10242,1.10399
1704134100000,1.10375,1.1042,1.10355,1.104
1704134400000,1.104,1.1045,1.10368,1.10395
1704134700000,1.1041,1.1045,1.1033,1.10387
1704135000000,1.1038,1.1046,1.10367,1.10383
1704135300000,1.1039,1.104,1.1032,1.10375
1704135600000,1.1038,1.1039,1.1036,1.10375
1704135900000,1.1038,1.104,1.10341,1.10375
1704136200000,1.1037,1.104,1.10341,1.1037
1704136500000,1.1035,1.1044,1.10311,1.1038
1704136800000,1.1039,1.1041,1.1035,1.10383
1704137100000,1.10373,1.10383,1.10373,1.10373
1704137400000,1.10383,1.1044,1.10359,1.1038
1704137700000,1.10383,1.1043,1.10363,1.1042
1704138000000,1.104,1.1044,1.10353,1.1042
1704138300000,1.1043,1.1045,1.10395,1.1042
1704138600000,1.1042,1.1044,1.10388,1.10408
1704138900000,1.1041,1.1046,1.10393,1.10423
1704139200000,1.1044,1.1047,1.10402,1.10423
1704139500000,1.1041,1.1046,1.1041,1.10423
1704139800000,1.10413,1.1049,1.10413,1.10423
1704140100000,1.10413,1.1052,1.10413,1.1052
1704140400000,1.105,1.1068,1.105,1.1068
1704140700000,1.1069,1.1077,1.10359,1.1049
1704141000000,1.1046,1.1049,1.1035,1.1043
1704141300000,1.1042,1.1047,1.104,1.1042
1704141600000,1.1044,1.10535,1.1037,1.10455
1704141900000,1.1044,1.1049,1.10438,1.1046
1704142200000,1.1047,1.1048,1.10436,1.10445
1704142500000,1.10455,1.1049,1.10399,1.1046
1704142800000,1.1045,1.1049,1.10439,1.1048
1704143100000,1.10455,1.1049,1.10445,1.1048
1704143400000,1.1047,1.105,1.10445,1.10455
1704143700000,1.1049,1.105,1.1044,1.10455
1704144000000,1.1046,1.105,1.10405,1.1046
1704144300000,1.10455,1.1049,1.10368,1.10455
1704144600000,1.1045,1.105,1.1031,1.10455
1704144900000,1.1048,1.1051,1.10438,1.10455
1704145200000,1.10445,1.105,1.10429,1.1047
1704145500000,1.10451,1.1049,1.10434,1.1048
1704145800000,1.1047,1.1049,1.10446,1.1045
1704146100000,1.1046,1.1049,1.10396,1.1046
1704146400000,1.1046,1.1048,1.10379,1.1047
1704146700000,1.1048,1.1051,1.1044,1.1049
1704147000000,1.1044,1.1054,1.1041,1.1053
1704147300000,1.1048,1.1051,1.10433,1.1047
1704147600000,1.1049,1.1051,1.10429,1.1045
1704147900000,1.1044,1.1052,1.1043,1.1051
1704148200000,1.1049,1.1051,1.1043,1.1046
1704148500000,1.1045,1.1047,1.10392,1.10437
1704148800000,1.1044,1.1045,1.1042,1.1043
1704149100000,1.10434,1.1045,1.1042,1.1045
1704149400000,1.1043,1.1045,1.1042,1.1043
1704149700000,1.10441,1.1045,1.1043,1.10442
1704150000000,1.10445,1.1046,1.1039,1.10406
1704150300000,1.10404,1.1042,1.1038,1.104
1704150600000,1.1041,1.1041,1.1037,1.10383
1704150900000,1.10384,1.1039,1.1035,1.10367
1704151200000,1.10373,1.1038,1.1035,1.10374
1704151500000,1.10374,1.1039,1.1036,1.10374
1704151800000,1.10375,1.1038,1.1035,1.10364
1704152100000,1.10366,1.1039,1.1035,1.1038
1704152400000,1.10382,1.1039,1.1035,1.10364
1704152700000,1.10364,1.10373,1.1034,1.10356
1704153000000,1.10356,1.10373,1.1034,1.10366
1704153300000,1.10367,1.10372,1.1034,1.1037
1704153600000,1.10366,1.1038,1.1035,1.1038
1704153900000,1.10376,1.10381,1.1035,1.10375
1704154200000,1.10379,1.1038,1.1035,1.10369
1704154500000,1.10369,1.1038,1.1035,1.10369
1704154800000,1.10365,1.1037,1.1033,1.10347
1704155100000,1.10346,1.10352,1.1032,1.10343
1704155400000,1.10347,1.1036,1.1033,1.1034
1704155700000,1.10355,1.1036,1.1034,1.10354
1704156000000,1.1036,1.1037,1.1034,1.10354
1704156300000,1.1034,1.1038,1.1034,1.10378
1704156600000,1.1036,1.10383,1.1036,1.10378
1704156900000,1.10382,1.1039,1.1035,1.10383
1704157200000,1.10382,1.10405,1.1036,1.10403
1704157500000,1.10397,1.10434,1.1039,1.10402
1704157800000,1.10403,1.1041,1.1037,1.10388
1704158100000,1.10388,1.10431,1.1037,1.10424
1704158400000,1.10428,1.10431,1.1039,1.1041
1704158700000,1.1042,1.10421,1.1038,1.10393
1704159000000,1.10392,1.104,1.1036,1.10383
1704159300000,1.10384,1.1039,1.1036,1.1037
1704159600000,1.10374,1.1039,1.1035,1.10383
1704159900000,1.10383,1.10401,1.1037,1.10385
1704160200000,1.10388,1.1039,1.1036,1.1037
1704160500000,1.1038,1.10381,1.1033,1.10348
1704160800000,1.10346,1.1036,1.1033,1.10352
1704161100000,1.10355,1.10355,1.103,1.1033
1704161400000,1.10325,1.1033,1.103,1.1031
1704161700000,1.10318,1.10319,1.1027,1.10297
1704162000000,1.10298,1.103,1.1025,1.1025
1704162300000,1.10273,1.1028,1.1024,1.10261
1704162600000,1.10262,1.1027,1.1023,1.10265
1704162900000,1.10264,1.1027,1.1024,1.1024
1704163200000,1.10256,1.1026,1.102,1.10236
1704163500000,1.10237,1.1024,1.102,1.10214
1704163800000,1.10213,1.10226,1.1018,1.10198
1704164100000,1.10201,1.10211,1.1016,1.10185
1704164400000,1.10186,1.10195,1.1016,1.10185
1704164700000,1.10186,1.10217,1.1016,1.10214
1704165000000,1.1019,1.1024,1.1019,1.10221
1704165300000,1.10225,1.10241,1.102,1.10225
1704165600000,1.10224,1.1023,1.102,1.10228
1704165900000,1.10228,1.1023,1.1019,1.10213
1704166200000,1.10214,1.10226,1.1019,1.10213
1704166500000,1.10212,1.10223,1.1019,1.10218
1704166800000,1.1022,1.1024,1.102,1.1023
1704167100000,1.10231,1.1025,1.1021,1.10242
1704167400000,1.10245,1.1026,1.1022,1.10242
1704167700000,1.10241,1.1026,1.1022,1.1023
1704168000000,1.10246,1.10251,1.1021,1.10224
1704168300000,1.10225,1.1023,1.102,1.1022
1704168600000,1.10217,1.10229,1.1019,1.1022
1704168900000,1.10221,1.1023,1.1019,1.1021
1704169200000,1.10206,1.1022,1.1019,1.10213
1704169500000,1.10211,1.10213,1.1018,1.10191
1704169800000,1.10191,1.1021,1.1018,1.10189
1704170100000,1.1019,1.10205,1.1018,1.10195
1704170400000,1.1019,1.10202,1.1016,1.1018
1704170700000,1.10175,1.10182,1.1016,1.1016
1704171000000,1.10171,1.1018,1.1015,1.10162
1704171300000,1.10167,1.1021,1.1015,1.10207
1704171600000,1.10209,1.1024,1.1019,1.10225
1704171900000,1.10223,1.1023,1.1019,1.10223
1704172200000,1.10225,1.10252,1.102,1.1025
1704172500000,1.10248,1.10264,1.1023,1.10253
1704172800000,1.10254,1.10274,1.1024,1.10264
1704173100000,1.1027,1.10282,1.1025,1.10266
1704173400000,1.10263,1.1028,1.1025,1.1028
1704173700000,1.10275,1.1029,1.1026,1.10278
1704174000000,1.1029,1.1031,1.1026,1.10301
1704174300000,1.10299,1.10316,1.1028,1.1028
1704174600000,1.10302,1.10328,1.1028,1.10309
1704174900000,1.10312,1.10336,1.1029,1.10333
1704175200000,1.10332,1.1034,1.103,1.10324
1704175500000,1.10323,1.10342,1.103,1.10321
1704175800000,1.10326,1.1033,1.103,1.10324
1704176100000,1.10323,1.1034,1.103,1.10325
1704176400000,1.10326,1.10335,1.1029,1.10311
