timestamp,open,high,low,close
1704069000000,1.1038,1.1038,1.10353,1.10353
1704086100000,1.1038,1.1045,1.1038,1.1042
1704097800000,1.1044,1.105,1.1044,1.1049
1704102300000,1.105,1.105,1.1049,1.1049
1704130200000,1.10404,1.1053,1.091,1.10404
1704131100000,1.1042,1.1071,1.10404,1.1071
1704132000000,1.1072,1.1073,1.1044,1.1052
1704132900000,1.10502,1.10532,1.10374,1.104
1704133800000,1.1041,1.1045,1.10242,1.10395
1704134700000,1.1041,1.1046,1.1032,1.10375
1704135600000,1.1038,1.104,1.10341,1.1037
1704136500000,1.1035,1.1044,1.10311,1.10373
1704137400000,1.10383,1.1044,1.10353,1.1042
1704138300000,1.1043,1.1046,1.10388,1.10423
1704139200000,1.1044,1.1049,1.10402,1.10423
1704140100000,1.10413,1.1077,1.10359,1.1049
1704141000000,1.1046,1.10535,1.1035,1.10455
1704141900000,1.1044,1.1049,1.10399,1.1046
1704142800000,1.1045,1.105,1.10439,1.10455
1704143700000,1.1049,1.105,1.10368,1.10455
1704144600000,1.1045,1.1051,1.1031,1.1047
1704145500000,1.10451,1.1049,1.10396,1.1046
1704146400000,1.1046,1.1054,1.10379,1.1053
1704147300000,1.1048,1.1052,1.10429,1.1051
1704148200000,1.1049,1.1051,1.10392,1.1043
1704149100000,1.10434,1.1045,1.1042,1.10442
1704150000000,1.10445,1.1046,1.1037,1.10383
1704150900000,1.10384,1.1039,1.1035,1.10374
1704151800000,1.10375,1.1039,1.1035,1.10364
1704152700000,1.10364,1.10373,1.1034,1.1037
1704153600000,1.10366,1.10381,1.1035,1.10369
1704154500000,1.10369,1.1038,1.1032,1.10343
1704155400000,1.10347,1.1037,1.1033,1.10354
1704156300000,1.1034,1.1039,1.1034,1.10383
1704157200000,1.10382,1.10434,1.1036,1.10388
1704158100000,1.10388,1.10431,1.1037,1.10393
1704159000000,1.10392,1.104,1.1035,1.10383
1704159900000,1.10383,1.10401,1.1033,1.10348
1704160800000,1.10346,1.1036,1.103,1.1031
1704161700000,1.10318,1.10319,1.1024,1.10261
1704162600000,1.10262,1.1027,1.102,1.10236
1704163500000,1.10237,1.1024,1.1016,1.10185
1704164400000,1.10186,1.1024,1.1016,1.10221
1704165300000,1.10225,1.10241,1.1019,1.10213
1704166200000,1.10214,1.1024,1.1019,1.1023
1704167100000,1.10231,1.1026,1.1021,1.1023
1704168000000,1.10246,1.10251,1.1019,1.1022
1704168900000,1.10221,1.1023,1.1018,1.10191
1704169800000,1.10191,1.1021,1.1016,1.1018
1704170700000,1.10175,1.1021,1.1015,1.10207
1704171600000,1.10209,1.10252,1.1019,1.1025
1704172500000,1.10248,1.10282,1.1023,1.10266
1704173400000,1.10263,1.1031,1.1025,1.10301
1704174300000,1.10299,1.10336,1.1028,1.10333
1704175200000,1.10332,1.10342,1.103,1.10324
1704176100000,1.10323,1.1034,1.1029,1.10317
1704177000000,1.10317,1.1035,1.1029,1.10336
1704177900000,1.1032,1.10351,1.1025,1.10286
1704178800000,1.10285,1.1031,1.1023,1.1028
1704179700000,1.10282,1.1038,1.1027,1.10372
1704180600000,1.1037,1.10381,1.10297,1.10298
1704181500000,1.103,1.10315,1.1015,1.10155
1704182400000,1.10155,1.10388,1.10155,1.10323
1704183300000,1.10322,1.1035,1.1026,1.10293
1704184200000,1.10287,1.10329,1.1027,1.10293
1704185100000,1.10293,1.1033,1.1024,1.10299
1704186000000,1.10298,1.10364,1.1028,1.10348
1704186900000,1.1035,1.1038,1.1032,1.10333
1704187800000,1.1033,1.1035,1.1018,1.10196
1704188700000,1.10195,1.10201,1.10099,1.1015
1704189600000,1.1015,1.10171,1.0996,1.10002
1704190500000,1.10001,1.10058,1.0997,1.1004
1704191400000,1.10041,1.10102,1.1001,1.10098
1704192300000,1.10089,1.10112,1.1001,1.10075
1704193200000,1.10076,1.1008,1.0988,1.09896
1704194100000,1.09895,1.09922,1.0978,1.09804
1704195000000,1.09804,1.09804,1.0969,1.09711
1704195900000,1.0971,1.09728,1.0966,1.09692
1704196800000,1.09692,1.0972,1.0967,1.09694
1704197700000,1.09694,1.097,1.0961,1.09655
1704198600000,1.09656,1.09682,1.0957,1.09609
1704199500000,1.0961,1.09634,1.0952,1.0953
1704200400000,1.09538,1.0959,1.0953,1.09579
1704201300000,1.0958,1.09622,1.0951,1.09579
1704202200000,1.09582,1.09651,1.0956,1.09644
1704203100000,1.09643,1.0965,1.09488,1.09522
1704204000000,1.09521,1.09573,1.0944,1.09463
1704204900000,1.0946,1.0954,1.0944,1.09521
1704205800000,1.09513,1.09638,1.095,1.09571
1704206700000,1.09572,1.09641,1.0951,1.09631
1704207600000,1.09633,1.09683,1.0954,1.09577
1704208500000,1.09578,1.09619,1.0952,1.09593
1704209400000,1.09586,1.09592,1.0949,1.09524
1704210300000,1.09526,1.09558,1.09404,1.09436
1704211200000,1.09436,1.09581,1.094,1.09573
1704212100000,1.09574,1.0962,1.0955,1.09578
1704213000000,1.09579,1.0958,1.0943,1.09465
1704213900000,1.09465,1.0958,1.0944,1.09564
1704214800000,1.09563,1.09576,1.0947,1.09508
1704215700000,1.09508,1.0956,1.09457,1.09534
1704216600000,1.09533,1.09561,1.095,1.09513
1704217500000,1.09516,1.0953,1.09468,1.09503
1704218400000,1.0951,1.09543,1.0947,1.09531
1704219300000,1.0953,1.0956,1.0951,1.0954
1704220200000,1.0954,1.09551,1.0947,1.09483
1704221100000,1.09484,1.09504,1.0945,1.09468
1704222000000,1.0947,1.0948,1.0941,1.09466
1704222900000,1.09462,1.095,1.0943,1.0949
1704223800000,1.0948,1.09501,1.0944,1.0946
1704224700000,1.09481,1.09488,1.0943,1.09463
1704225600000,1.09465,1.09512,1.0944,1.09482
1704226500000,1.09483,1.0951,1.0944,1.0945
1704227400000,1.09458,1.0949,1.0945,1.09468
1704228300000,1.09467,1.0949,1.094,1.09431
1704229200000,1.0943,1.09431,1.0938,1.09413
1704230100000,1.09414,1.0943,1.0938,1.09382
1704231000000,1.09382,1.09413,1.0937,1.09405
1704231900000,1.0939,1.0943,1.0939,1.0939
1704232800000,1.0939,1.0949,1.09343,1.09389
1704233700000,1.0944,1.0945,1.0937,1.09388
1704234600000,1.09391,1.0941,1.09379,1.09398
1704235500000,1.09397,1.09454,1.0938,1.09396
1704236400000,1.09413,1.0945,1.0939,1.09427
1704237300000,1.0941,1.0944,1.094,1.09425
1704238200000,1.09427,1.0944,1.094,1.0941
1704239100000,1.09416,1.0944,1.0939,1.094
1704240000000,1.09415,1.0945,1.094,1.09447
1704240900000,1.09446,1.095,1.0942,1.09489
1704241800000,1.09485,1.0952,1.0947,1.09499
1704242700000,1.095,1.09505,1.0947,1.09494
1704243600000,1.09493,1.0951,1.0947,1.09498
1704244500000,1.09497,1.09513,1.0944,1.09508
1704245400000,1.09509,1.0955,1.0948,1.0954
1704246300000,1.09538,1.0955,1.0949,1.09514
1704247200000,1.09511,1.09531,1.0948,1.09507
1704248100000,1.09508,1.09511,1.0947,1.09486
1704249000000,1.09486,1.095,1.0947,1.095
1704249900000,1.09494,1.0953,1.0947,1.09523
1704250800000,1.09522,1.0955,1.0948,1.0948
1704251700000,1.09489,1.0954,1.0947,1.09535
1704252600000,1.09532,1.096,1.0952,1.09593
1704253500000,1.09594,1.09622,1.0958,1.09608
1704254400000,1.096,1.09625,1.0958,1.09604
1704255300000,1.09607,1.0962,1.0958,1.09603
1704256200000,1.09602,1.0962,1.0958,1.09597
1704257100000,1.09598,1.09625,1.0957,1.09621
1704258000000,1.09625,1.0963,1.0959,1.09607
1704258900000,1.096,1.09623,1.0957,1.0959
1704259800000,1.09585,1.0961,1.0955,1.09566
1704260700000,1.09567,1.0957,1.095,1.0951
1704261600000,1.09511,1.0957,1.095,1.09563
1704262500000,1.09563,1.09584,1.0953,1.0957
1704263400000,1.09578,1.0959,1.0956,1.09588
1704264300000,1.09583,1.0961,1.0957,1.09584
1704265200000,1.09581,1.096,1.0954,1.09552
1704266100000,1.09551,1.0959,1.095,1.09577
1704267000000,1.09577,1.09627,1.0956,1.09575
1704267900000,1.09574,1.09626,1.0954,1.09603
1704268800000,1.09604,1.0966,1.0956,1.09638
